h3_index,cluster_id,cluster_meaning
891f53cdc23ffff,11,11: building_house
891f53cdc27ffff,0,0: landuse_industrial
891f53cdc2bffff,8,8: landuse_industrial
891f53cdc2fffff,0,0: landuse_industrial
891f53cdc37ffff,8,8: landuse_industrial
891f53cdc43ffff,9,9: aeroway_aerodrome
891f53cdc47ffff,9,9: aeroway_aerodrome
891f53cdc53ffff,10,10: building_apartments
891f53cdc57ffff,2,2: building_house
891f53cdc5bffff,8,8: landuse_industrial
891f53cdc83ffff,11,11: building_house
891f53cdc87ffff,2,2: building_house
891f53cdc8bffff,7,7: highway_bus_stop
891f53cdc8fffff,10,10: building_apartments
891f53cdc93ffff,9,9: aeroway_aerodrome
891f53cdc97ffff,2,2: building_house
891f53cdca3ffff,10,10: building_apartments
891f53cdca7ffff,2,2: building_house
891f53cdcabffff,2,2: building_house
891f53cdcafffff,2,2: building_house
891f53cdcb3ffff,0,0: landuse_industrial
891f53cdcb7ffff,0,0: landuse_industrial
891f53cdcbbffff,2,2: building_house
891f53cdcc3ffff,8,8: landuse_industrial
891f53cdcc7ffff,5,5: shop_greengrocer
891f53cdccfffff,0,0: landuse_industrial
891f53cdcd3ffff,4,4: landuse_cemetery
891f53cdcd7ffff,5,5: shop_greengrocer
891f53cdcdbffff,7,7: highway_bus_stop
891f53cdd03ffff,11,11: building_house
891f53cdd0bffff,0,0: landuse_industrial
891f53cdd13ffff,8,8: landuse_industrial
891f53cdd1bffff,0,0: landuse_industrial
891f53cdd43ffff,11,11: building_house
891f53cdd47ffff,2,2: building_house
891f53cdd4bffff,0,0: landuse_industrial
891f53cdd4fffff,2,2: building_house
891f53cdd53ffff,8,8: landuse_industrial
891f53cdd57ffff,0,0: landuse_industrial
